Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1472854020,575.34,575.38,575.28,575.38,17.75225085,10213.845712,575.35496756
1472868420,575.9,575.92,575.9,575.92,0.12078,69.5586052,575.91161782
1472882820,575.19,575.19,575.19,575.19,0.26609,153.0523071,575.19
1472897220,576.29,576.29,576.28,576.29,1.9107856,1101.1521539,576.2824222
1472911620,576.86,576.86,576.84,576.84,0.14019,80.8695306,576.85662743
1472926020,577.16,577.2,577.13,577.13,8.89835,5135.918248100001,577.17647071
1472940420,599.89,599.9,599.81,599.81,1.09018,653.9721063999999,599.87534756
1472954820,600.19,600.19,600.18,600.18,1.05355,632.3211409,600.18142556
1472969220,597.96,597.96,597.89,597.89,1.7881799999999999,1069.2061446,597.92981949
1472983620,604.52,604.52,604.51,604.51,0.8996200000000001,543.8377862000001,604.51944843
1472998020,614.52,614.52,614.52,614.52,2.27331528,1396.9977059,614.52
1473012420,613.86,614.02,613.85,614.02,0.21801971,133.83385253,613.8612538
1473026820,610.14,610.14,610.13,610.13,0.99195,605.227363,610.1389818
1473041220,609.89,609.89,609.86,609.88,0.62971037,384.04657256,609.87811358
1473055620,609.74,609.76,609.74,609.76,3.3760800000000004,2058.5357126,609.74139019
1473070020,606.85,606.85,606.75,606.75,0.67372,408.80954441,606.79443153
1473084420,603.5,603.76,603.5,603.76,0.57471,346.98264819999997,603.75258513
1473098820,606.58,606.97,605.74,606.35,16.51851,10011.684328,606.08882567
1473113220,607.82,607.99,607.82,607.99,3.1429400000000003,1910.5351895999997,607.88153436
1473127620,605.94,605.94,605.66,605.66,3.01294,1825.2254057,605.79547075
1473142020,606.6,606.6,606.49,606.49,0.46082,279.49159014,606.50924469
1473156420,606.96,606.96,606.88,606.88,0.11012999999999999,66.8388944,606.90905657
1473170820,609.99,609.99,609.98,609.99,2.14457,1308.1557195999999,609.98508773
1473185220,609.27,609.52,609.27,609.52,0.40163000000000004,244.7679026,609.43630356
1473199620,612.18,612.18,612.06,612.06,2.74535231,1680.3511228,612.07121457
1473214020,613.41,613.43,613.41,613.43,0.2904,178.13740496,613.42081599
1473228420,610.14,610.14,610.14,610.14,0.18002,109.83740279999999,610.14
1473242820,610.6,610.6,610.6,610.6,0.07578,46.271268,610.6
1473257220,614.56,614.56,614.56,614.56,2.66955,1640.5986480000001,614.56
1473271620,616.78,616.79,616.78,616.79,1.25032,771.1740787,616.78136693
1473286020,615.08,615.17,615.08,615.17,0.9592700000000001,590.0470452000001,615.1000711
1473300420,615.0,615.23,615.0,615.08,0.67765,416.81363789,615.08690016
1473314820,616.1,616.1,616.09,616.09,1.09205,672.8088625,616.09712238
1473329220,626.63,626.64,626.63,626.64,0.71994038,451.13865377,626.63335229
1473343620,628.8,628.8,628.75,628.8,3.41845,2149.4369028,628.77529371
1473358020,624.09,624.21,624.08,624.21,9.93671067,6201.487093600001,624.09858751
1473372420,626.67,626.74,626.2,626.2,14.567329999999998,9124.9124952,626.3956741000001
1473386820,627.6,627.66,627.58,627.66,0.63976,401.54459054,627.64879102
1473401220,623.06,623.06,623.06,623.06,0.85713,534.0434178,623.06
1473415620,622.61,622.61,622.38,622.38,4.66061422,2900.9805180999997,622.44596551
1473430020,620.7,621.04,620.7,621.04,1.0245799999999998,636.1612905000001,620.89957885
1473444420,620.15,620.24,620.15,620.24,0.33521999999999996,207.89984532,620.18926472
1473458820,622.77,622.77,622.77,622.77,1.2962686,807.27719602,622.77
1473473220,622.19,622.2,621.26,621.46,16.60745,10324.101359,621.65482113
1473487620,621.98,621.98,621.98,621.98,0.11429,71.0860942,621.98
1473502020,623.89,624.05,623.89,623.93,0.5919399999999999,369.32916931,623.93007621
1473516420,624.8,624.8,624.8,624.8,0.09101000000000001,56.863048,624.8
1473530820,624.57,624.65,624.39,624.39,2.4324007,1519.0777523,624.5178897999999
1473545220,625.75,625.75,625.7,625.75,0.26937,168.5577775,625.74814382
1473559620,623.54,623.54,623.23,623.31,4.15477096,2589.7415512,623.31752487
1473574020,622.76,622.81,622.76,622.81,0.97235876,605.56582732,622.78024555
1473588420,622.94,623.11,622.94,623.1,3.5366724,2203.6931127,623.09789074
1473602820,626.41,626.41,626.29,626.29,2.47078,1547.6533777999998,626.3825099
1473617220,628.67,628.68,628.67,628.67,0.14235,89.491298,628.67086758
