,Timestamp,BTC-USD-Daily
553,1415697840000.0,367.833
554,1415784240000.0,378.629
555,1415870640000.0,438.286
556,1415957040000.0,384.976
557,1416043440000.0,395.159
558,1416129840000.0,386.854
559,1416216240000.0,409.747
560,1416302640000.0,383.823
561,1416389040000.0,383.492
562,1416475440000.0,364.929
563,1416561840000.0,353.103
564,1416648240000.0,358.654
565,1416734640000.0,357.059
566,1416821040000.0,374.572
567,1416907440000.0,393.176
568,1416994440000.0,369.096
569,1417080840000.0,372.335
570,1417167240000.0,363.23
571,1417253640000.0,378.912
572,1417340040000.0,381.015
573,1417426440000.0,379.968
574,1417512840000.0,380.975
575,1417599240000.0,376.298
576,1417685640000.0,375.683
577,1417772040000.0,372.943
578,1417858440000.0,374.454
579,1417944840000.0,374.862
580,1418031241000.0,366.659
581,1418117640000.0,350.734
582,1418204040000.0,350.037
583,1418318340000.0,356.597
584,1418519640000.0,346.567
585,1418606040000.0,351.142
586,1418692440000.0,345.42
587,1418779140000.0,333.954
588,1418865540000.0,321.417
589,1418951940000.0,311.418
590,1419038340000.0,316.632
591,1419124740000.0,328.891
592,1419211140000.0,322.022
593,1419297541000.0,333.14
594,1419383940000.0,334.25
595,1419470340000.0,318.075
596,1419556741000.0,317.811
597,1419643141000.0,324.885
598,1419729541000.0,316.561
599,1419815940000.0,319.854
600,1419902340000.0,314.022
601,1419988741000.0,310.6
602,1420075141000.0,317.848
603,1420161540000.0,313.639
604,1420247940000.0,314.87
605,1420334340000.0,281.246
606,1420420741000.0,266.723
607,1420507141000.0,274.168
608,1420593541000.0,283.238
609,1420679940000.0,293.754
610,1420766341000.0,282.507
611,1420883941000.0,277.861
612,1420970341000.0,274.705
613,1421056741000.0,267.988
614,1421143141000.0,244.566
615,1421229541000.0,207.809
616,1421315941000.0,204.946
617,1421402341000.0,218.091
618,1421488741000.0,197.244
619,1421575141000.0,210.52
620,1421661541000.0,208.277
621,1421747941000.0,209.398
622,1421834340000.0,213.693
623,1421920741000.0,230.925
624,1422007141000.0,226.646
625,1422093540000.0,232.926
626,1422179941000.0,246.348
627,1422266341000.0,299.413
628,1422352740000.0,258.223
629,1422439141000.0,262.191
630,1422525541000.0,230.433
631,1422611941000.0,232.815
632,1422698341000.0,232.025
633,1422785341000.0,212.725
634,1422871760000.0,224.714
635,1422958161000.0,239.545
636,1423044859000.0,223.529
637,1423131259000.0,225.924
638,1423217660000.0,218.892
639,1423304065000.0,228.917
640,1423390460000.0,227.457
641,1423476860000.0,222.527
642,1423563560000.0,216.425
643,1423649960000.0,220.585
644,1423736360000.0,219.139
645,1423822761000.0,234.847
646,1423909161000.0,247.851
647,1423995862000.0,262.742
648,1424082560000.0,237.533
649,1424168959000.0,237.71
650,1424255360000.0,241.633
651,1424341759000.0,236.829
652,1424428162000.0,246.175
653,1424514560000.0,243.83
654,1424601859000.0,245.211
655,1424688260000.0,234.566
